Nation,Year,GDP_Growth,GDP_Per_Capita,GDP,GDP_Normalized,Pop,Pop_Normalized,Area,Pop_Growth,Athletes,Athletes_Normalized,Medals_Last_Games,Total_Medals_year,Medals
Argentina,2012,-1.026420454,10.649837289999999,0.444,35.795257393812314,0.041733271,1.3392627783830855,2.7804,1.136905694,122,0.012488483979936536,6.0,962,4
Argentina,2000,-0.7889989390000001,8.224112826999999,0.303,43.699573644979935,0.036870787,1.7743440998158178,2.7804,1.100583725,127,0.012919633774160732,3.0,925,4
Argentina,1996,5.526689827,7.994243371,0.282,47.604603922409495,0.035246374,1.869493291859728,2.7804,1.193611663,162,0.016947379432995083,2.0,841,3
Argentina,2008,4.057233103,10.20147594,0.409,36.75471613103112,0.04008016,1.4457745100005497,2.7804,0.99259313,87,0.008649830980314178,6.0,963,6
Argentina,2016,-2.080327844,10.23948135,0.446,33.121912403731855,0.043590368,1.2319534892449304,2.7804,1.057181578,197,0.018991612841029598,4.0,973,4
Argentina,2004,9.029573301000001,7.962412309,0.306,35.0118666892553,0.038491972,1.5566976954936618,2.7804,1.0553893840000002,109,0.011225540679711637,4.0,927,6
Argentina,1988,-1.089933342,7.104181201,0.225,36.980472625294794,0.031668949,2.7258508668226598,2.7804,1.541822324,107,0.013620162932790223,0.0,742,2
Cuba,1992,-11.58060308,3.2890553440000008,0.035312571037,8.744985353355933,0.010736387,0.7411793107418941,0.10989,0.587065753,140,0.016012810248198558,0.0,826,31
Cuba,2012,3.014900289,6.051685746,0.068124437665,5.492188696007652,0.011257101,0.3612517303472093,0.10988,0.18165923,109,0.011157743883713787,24.0,962,14
Cuba,2000,5.914760174,3.4808308920000006,0.038729221264,5.585645072075547,0.01112643,0.5354405758280589,0.10989,0.376028645,197,0.020040691759918617,25.0,925,29
Cuba,1996,7.8387496589999985,3.057741685,0.03344953221,5.646637348393365,0.010939293,0.5802280507262416,0.10989,0.467675985,136,0.014227429647452662,31.0,841,25
Cuba,2008,4.116828042,5.511046964999999,0.06192747492,5.565102106103053,0.011236971,0.4053408529660407,0.10989,-0.125853285,135,0.013422151521177171,27.0,963,24
Cuba,2016,0.513761468,6.550274372999999,0.074248073998,5.51398700248331,0.011335109,0.32035350294637605,0.10988,0.091156671,117,0.011279282753301841,14.0,973,11
Cuba,2004,5.77053807,3.955166666,0.044497068633,5.091259591638038,0.011250365,0.4549888290722687,0.10989,0.188455802,117,0.012049433573635427,29.0,927,27
Cuba,1988,3.705539907,4.401694538000002,0.04576666738,7.522102178653611,0.010397511,0.8949480569168287,0.10989,1.072019303,0,0.0,0.0,742,0
Greece,1992,0.700000005,19.73329037,0.205,50.76724647320577,0.010399061,0.7178922354738992,0.13196,0.7638827220000001,70,0.008006405124099279,1.0,826,2
Greece,2012,-7.300494062,22.83052672,0.252,20.316227169461047,0.011045011,0.35444554823252994,0.13196,-0.540752951,101,0.01033882690142287,4.0,962,2
Greece,2000,3.919770707,23.27544422,0.252,36.34419986315163,0.010805808,0.5200111857808339,0.13196,0.409041838,135,0.01373346897253306,8.0,925,13
Greece,1996,2.862129375,20.38931805,0.216,36.46310087673919,0.0106088,0.5626984618242287,0.13196,0.440670531,121,0.012658227848101266,2.0,841,8
Greece,2008,-0.335172452,29.87474343,0.331,29.745259264966503,0.011077841,0.3996007037805987,0.13196,0.265457837,149,0.014814078345595547,16.0,963,4
Greece,2016,-0.190952352,22.6662862,0.244,18.12050813118962,0.010775971,0.304551112609377,0.13196,-0.415913028,91,0.008772775474790322,2.0,973,6
Greece,2004,5.060992759,27.614405910000002,0.303,34.668613094262604,0.010955141,0.4430493389247018,0.13196,0.247413543,412,0.04243048403707518,13.0,927,16
Greece,1988,4.287861491,18.97164347,0.19,31.227954661360048,0.010036983,0.8639162231381378,0.13196,0.3631979870000001,56,0.007128309572301427,2.0,742,1
Cameroon,1992,-3.100003211,1.1802033120000002,0.014751950122,3.653248233190302,0.012499499,0.8628945709053699,0.47544,2.935478608,8,0.000915017728468489,0.0,826,0
Cameroon,2012,4.543265016,1.325930225,0.028487963591,2.296698174246394,0.021485266,0.6894838661810057,0.47544,2.731263968,32,0.003275667929163681,1.0,962,0
Cameroon,2000,3.553374364,1.14657231,0.017787859759,2.565418770709556,0.015513945,0.7465822949647672,0.47544,2.621099328,17,0.0017293997965412006,0.0,925,1
